pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1730,RHDHBUGS-2541,1,RHDHBUGS-2541: MCP config and LCore config updates,2026-02-02,3.3,6,6,33,13,46,0,0,0,0,46,0,0,0,2
1729,RHIDP-10996,5,[release-1.9] RHIDP-10996:Logging for Workflows,2026-01-30,0.0,2,3,84,0,84,0,0,0,0,84,2,0,0,3
1728,RHDHBUGS-2536,3,RHDHBUGS-2536 part 1 Typo Corrections,2026-02-05,6.8,4,21,33,33,66,0,0,0,0,66,0,0,0,9
1727,,,Changing title to fix pantheon build error,2026-01-29,0.4,2,1,1,1,2,0,0,0,0,2,0,0,0,1
1726,,,Manual cp of pr 1669 for release 1 8,2026-01-29,0.0,2,16,93,98,191,0,0,0,0,191,0,0,0,3
1725,RHIDP-11225,3,[release-1.9] RHIDP-11225: JTBD implementation for Scorecards,2026-01-29,0.0,2,25,226,233,459,0,0,0,0,459,7,0,0,8
1724,RHDHBUGS-761,5,RHDHBUGS-761 redux,2026-02-02,5.1,9,3,20,22,42,0,0,0,0,42,1,0,0,10
1723,RHDHBUGS-2298,3,[release-1.9] RHDHBUGS-2298 Clarify rhbk permissions,2026-01-28,0.0,2,3,5,6,11,0,0,0,0,11,0,0,0,3
1722,RHIDP-8176,,[release-1.9] RHIDP-8176 Disabling the guest login,2026-01-28,0.0,1,10,53,0,53,0,0,0,0,53,2,0,0,9
1721,RHIDP-9820,3,[release-1.9] RHIDP-9820 bulk-import simplified ui,2026-01-28,0.0,1,2,19,36,55,0,0,0,0,55,0,0,0,7
1720,RHIDP-10996,5,RHIDP-10996:Logging for Workflows,2026-01-30,1.8,5,3,84,0,84,0,0,0,0,84,2,0,0,4
1719,RHIDP-9091,5,[release-1.9] RHIDP-9091: Creating Software templates for PE,2026-01-28,0.0,2,6,99,0,99,0,0,0,0,99,5,0,0,4
1718,RHIDP-9088,8,[release-1.9] RHIDP-9088: Enhance Developer Experience with Orchestrator,2026-01-27,0.0,1,9,352,0,352,3,0,0,0,352,8,0,3,9
1717,RHIDP-9088,8,[release-1.8] RHIDP-9088: Enhance Developer Experience with Orchestrator,2026-01-27,0.0,1,9,352,0,352,3,0,0,0,352,8,0,3,9
1716,RHIDP-9088,8,[release-1.7] RHIDP-9088: Enhance Developer Experience with Orchestrator,2026-01-27,0.0,1,9,352,0,352,3,0,0,0,352,8,0,3,9
1715,RHDHBUGS-1777,,RHDHBUGS-1777: Clarify instructions for setting log level to debug,2026-02-13,17.9,8,9,104,79,183,0,0,0,0,183,2,0,0,23
1714,RHIDP-9093,13,RHIDP-9093-1 - How To Create Dynamic Plugins for Red Hat Developer Hub,2026-03-02,34.6,12,22,858,74,932,2,1,0,1,933,14,0,1,82
1713,RHDHBUGS-2298,3,RHDHBUGS-2298 Clarify rhbk permissions,2026-01-28,1.9,5,3,5,6,11,0,0,0,0,11,0,0,0,3
1712,RHIDP-8176,,RHIDP-8176 Disabling the guest login,2026-01-27,4.0,5,10,53,0,53,0,0,0,0,53,2,0,0,9
1710,RHIDP-7609,3,[release-1.9] RHIDP-7609 - Clarify policy effect,2026-01-23,0.0,1,1,15,1,16,0,0,0,0,16,0,0,0,2
1709,RHIDP-9820,3,RHIDP-9820 bulk-import simplified ui,2026-01-27,4.1,4,2,19,36,55,0,0,0,0,55,0,0,0,8
1708,RHIDP-7609,3,RHIDP-7609 - Clarify policy effect,2026-01-23,0.1,4,1,15,1,16,0,0,0,0,16,0,0,0,3
1707,,,[release-1.8] Fix typo in service account information section,2026-01-22,0.0,2,1,1,1,2,0,0,0,0,2,0,0,0,1
1706,,,[release-1.9] Fix typo in service account information section,2026-01-22,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,1
1705,,,[release-1.8] chore: Fix build on release branches,2026-01-22,0.0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
1704,,,[release-1.9] chore: Fix build on release branches,2026-01-22,0.0,1,0,0,0,0,1,1,0,1,1,0,0,0,1
1703,,,chore: Fix build on release branches,2026-01-22,0.0,14,0,0,0,0,1,1,0,1,1,0,0,0,1
1700,,,fix-asciidoc-warnings,2026-01-27,4.8,2,9,24,28,52,0,0,0,0,52,0,0,0,3
1699,RHIDP-10990,1,cherry-pick RHIDP-10990,2026-01-22,0.0,2,5,38,29,67,0,0,0,0,67,0,0,0,1
1698,RHIDP-9088,8,RHIDP-9088: Enhance Developer Experience with Orchestrator,2026-01-27,5.8,12,9,352,0,352,3,0,0,0,352,8,0,3,9
1697,,,Fix typo in service account information section,2026-01-22,1.1,6,1,1,1,2,0,0,0,0,2,0,0,0,1
1696,RHIDP-9091,5,RHIDP-9091: Creating Software templates for PE,2026-01-28,7.1,5,6,99,0,99,0,0,0,0,99,5,0,0,4
1695,RHDHBUGS-2461,1,[release-1.8] RHDHBUGS-2461: Add a note about ISO datestyle requirement while using external database,2026-01-21,0.0,2,1,8,5,13,0,0,0,0,13,0,0,0,5
1694,RHDHBUGS-2501,,[release-1.8] RHDHBUGS-2501: openshift-ai connector allow for 'rhdh.modelcatalog.io/model-name' override,2026-01-20,0.0,2,2,10,6,16,0,0,0,0,16,0,0,0,3
1693,RHIDP-9831,5,RHIDP-9831 RHDHBUGS-2420 - Release notes have moved to Gitlab,2026-01-20,0.0,2,11,0,160,160,8,0,277,277,437,0,0,0,1
1692,RHIDP-9540,3,RHIDP-9540: create dynamic plugins table re: wrapped plugins in 1.8 that will move to ghcr.io in 1.9,2026-02-06,17.2,9,2,414,0,414,1,208,15,223,637,2,0,0,48
1691,RHDHBUGS-2128,2,"[release-1.8] RHDHBUGS-2128 part 2, Add missing $ prompt in code blocks for command examples",2026-01-20,0.4,2,29,95,95,190,0,0,0,0,190,0,0,0,7
1689,,,Orchestrator permissions-Manual cherry-pick,2026-01-19,0.0,2,3,152,1,153,0,0,0,0,153,2,0,0,1
1688,,,Orchestrator permissions,2026-01-19,0.0,2,3,152,1,153,0,0,0,0,153,2,0,0,1
1687,RHIDP-9095,2,RHIDP-9095: Add a new step in the documentation regarding the upgrade,2026-01-19,0.2,3,2,10,1,11,0,0,0,0,11,0,0,0,1
1686,RHDHBUGS-2414,3,RHDHBUGS-2414: YAML code indentation check,2026-01-30,11.1,6,1,62,72,134,0,0,0,0,134,0,0,0,5
