pr,jira_key,sp,title,merged_at,days_open,comments,adoc_files,adoc_added,adoc_deleted,adoc_total,other_files,other_added,other_deleted,other_total,total_lines,new_adoc_files,assembly_files,image_files,commits
1459,RHDHBUGS-2173,2,RHDHBUGS-2173-1-7 - Incorrect file path for Keycloak backend plugin (1.7),2025-10-31,6.8,1,1,2,2,4,0,0,0,0,4,0,0,0,1
1458,RHDHBUGS-2173,2,RHDHBUGS-2173 - Incorrect file path for Keycloak backend plugin,2025-10-31,6.8,4,1,1,1,2,0,0,0,0,2,0,0,0,2
1457,RHIDP-8632,5,[release-1.8] RHIDP-8632: Update the Bulk Import Plugin to Integrate with Existing Backstage Templates and Orchestrator ,2025-10-28,4.1,1,4,133,0,133,0,0,0,0,133,3,0,0,19
1456,RHDHBUGS-2134,1,RHDHBUGS-2134: updated attribute,2025-11-10,17.5,10,3,4,4,8,0,0,0,0,8,0,0,0,2
1455,,,[release-1.8] chore: clarify backstage version support,2025-10-22,0.0,1,1,1,1,2,0,0,0,0,2,0,0,0,2
1454,,,chore: clarify backstage version support,2025-10-22,0.1,4,1,1,1,2,0,0,0,0,2,0,0,0,2
1453,,,Manual cherry-pick: Update preinstalled plugins list (#1451),2025-10-22,0.0,1,1,1,0,1,0,0,0,0,1,0,0,0,3
1452,RHDHBUGS-2156,1,[release-1.8] RHDHBUGS-2156: Add @backstage/events-backend plugin to the list of pre-installed RHDH plugins,2025-10-22,0.0,1,1,1,0,1,0,0,0,0,1,0,0,0,1
1451,RHDHBUGS-2156,1,RHDHBUGS-2156: Add @backstage/events-backend plugin to the list of pre-installed RHDH plugins,2025-10-22,0.0,5,1,1,0,1,0,0,0,0,1,0,0,0,1
1450,RHIDP-8819,5,RHIDP-8819: Phase 1 of Enhanced Homepage Customization for RHDH,2025-11-04,13.1,5,2,177,0,177,0,0,0,0,177,1,0,0,6
1449,RHIDP-8629,2,RHIDP-8629: sizing requirements for external PostgreSQL deployment with RHDH,2025-11-10,20.6,8,3,55,1,56,0,0,0,0,56,0,0,0,14
1448,,,cherry-pick GH#1268,2025-10-20,0.0,1,2,396,0,396,0,0,0,0,396,1,0,0,1
1447,,,cherry-pick GH#1442,2025-10-20,3.0,1,31,989,1100,2089,0,0,0,0,2089,20,0,0,1
1446,,,chore: regen plugins for release-1.8 and...,2025-10-16,0.0,1,3,74,74,148,2,107,96,203,351,0,0,0,1
1445,,,chore: regen plugins for main and update the...,2025-10-16,0.0,1,3,75,75,150,2,108,97,205,355,0,0,0,1
1444,RHIDP-8632,5,RHIDP-8632: Update the Bulk Import Plugin to Integrate with Existing Backstage Templates and Orchestrator Workflows,2025-10-24,9.0,5,4,133,0,133,0,0,0,0,133,3,0,0,20
1443,RHIDP-8635,8,RHIDP-8635-1 - Comprehensive documentation for developers on adding localization support to custom plugins,2025-11-10,27.1,4,17,817,1,818,1,0,0,0,818,13,0,1,64
1442,RHDHBUGS-2067,5,RHDHBUGS-2067 - Grouped optional configurations in one example file,2025-10-17,2.9,5,31,989,1100,2089,0,0,0,0,2089,20,0,0,8
1441,RHIDP-9010,5,Added some content missing from the manual cherrypick,2025-10-13,0.0,1,1,6,7,13,0,0,0,0,13,0,0,0,1
